dt_s,tte_h,runtime_s,stop_reason,absolute_tte_error_h,relative_tte_error_pct
1.0,3.160833333333333,0.23699737499919138,voltage cutoff,0.0,0.0
5.0,3.1625,0.04825233399969875,voltage cutoff,0.0016666666666669272,0.0527287107830296
10.0,3.1638888888888888,0.02461629200115567,voltage cutoff,0.003055555555555589,0.09666930310220688
30.0,3.175,0.008511333999194903,voltage cutoff,0.01416666666666666,0.44819404165568133
