analysis,label,elapsed_seconds
soc,初始 SOC—TTE 分析,1.0502798330016958
temperature,环境温度分析,1.6986590000014985
soh,SOH 老化分析,0.6185151249992487
ablation,模型增量与消融分析,1.3215981670000474
stop,TTE 终止原因分析,0.8877547079973738
interaction,双因素交互分析,3.227666667000449
contribution,场景功耗贡献分解,0.4576491670013638
monte_carlo,蒙特卡洛不确定性分析,0.9987896250022459
validation,基准一致性分析,1.1589321669998753
timestep,时间步长稳定性分析,0.8870673750025162
