基准TTE预测结果,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
TTE = (Initial_SOC - Shutdown_SOC) × E_effective_Wh / P_total_W。该表适合作为基准预测结果，不宜当作独立实测验证数据。,,,,,,
Scenario,Initial_SOC,Shutdown_SOC,E_effective_Wh,P_total_W,Time_to_empty_hours,Time_to_empty_minutes
Standby,0.2,0.03,12.765,0.8600120078649988,2.5232787218718067,151.3967233123084
Standby,0.5,0.03,12.765,0.8600120078649988,6.9761235251749945,418.56741151049965
Standby,0.8,0.03,12.765,0.8600120078649988,11.428968328478183,685.7380997086909
Standby,1,0.03,12.765,0.8600120078649988,14.397531530680306,863.8518918408183
Light daily use,0.2,0.03,12.765,2.0583802129199897,1.0542512925353074,63.25507755211844
Light daily use,0.5,0.03,12.765,2.0583802129199897,2.9146947499505553,174.88168499703332
Light daily use,0.8,0.03,12.765,2.0583802129199897,4.775138207365804,286.50829244194824
Light daily use,1,0.03,12.765,2.0583802129199897,6.015433845642635,360.9260307385581
Video streaming (Wi-Fi),0.2,0.03,12.765,2.469966200890184,0.878574775321989,52.714486519319344
Video streaming (Wi-Fi),0.5,0.03,12.765,2.469966200890184,2.4290008494196167,145.740050965177
Video streaming (Wi-Fi),0.8,0.03,12.765,2.469966200890184,3.979426923517244,238.76561541103464
Video streaming (Wi-Fi),1,0.03,12.765,2.469966200890184,5.013044306248996,300.78265837493973
Mobile game,0.2,0.03,12.765,3.0268236846438743,0.7169396787164763,43.01638072298858
Mobile game,0.5,0.03,12.765,3.0268236846438743,1.9821273470396696,118.92764082238018
Mobile game,0.8,0.03,12.765,3.0268236846438743,3.247315015362863,194.83890092177177
Mobile game,1,0.03,12.765,3.0268236846438743,4.090773460911659,245.44640765469953
Navigation,0.2,0.03,12.765,2.6000508623549665,0.8346182882109091,50.07709729265455
Navigation,0.5,0.03,12.765,2.6000508623549665,2.3074740909360427,138.44844545616257
Navigation,0.8,0.03,12.765,2.6000508623549665,3.780329893661176,226.81979361967058
Navigation,1,0.03,12.765,2.6000508623549665,4.762233762144598,285.7340257286759
Weak-signal social/video,0.2,0.03,12.765,2.3953243707018594,0.9059524574386345,54.35714744631807
Weak-signal social/video,0.5,0.03,12.765,2.3953243707018594,2.5046920882126953,150.28152529276173
Weak-signal social/video,0.8,0.03,12.765,2.3953243707018594,4.103431718986756,246.20590313920536
Weak-signal social/video,1,0.03,12.765,2.3953243707018594,5.169258139502796,310.15548837016775
Cold aged light use,0.2,0.03,9.535454999999999,2.0583802129199897,0.7875257155238744,47.25154293143247
Cold aged light use,0.5,0.03,9.535454999999999,2.0583802129199897,2.1772769782130643,130.63661869278386
Cold aged light use,0.8,0.03,9.535454999999999,2.0583802129199897,3.5670282409022547,214.0216944541353
Cold aged light use,1,0.03,9.535454999999999,2.0583802129199897,4.493529082695048,269.61174496170287
