run,tte_h,stop_reason,final_soc,final_voltage_v,final_temp_c
1,3.129166666666667,voltage cutoff,0.0388994001200153,2.9983859139835256,29.660249717803882
2,3.120833333333333,voltage cutoff,0.03607859513227101,2.9962607958893956,29.721092337898746
3,3.129166666666667,voltage cutoff,0.038404417888867344,2.998704516772115,29.578385201274422
4,3.129166666666667,voltage cutoff,0.03399463855579398,2.9995160636215146,29.650474963573274
5,3.1,voltage cutoff,0.03566503809701988,2.99896138395845,29.671648695325008
6,3.125,voltage cutoff,0.03331429829108237,2.998718545939918,29.64002315884852
7,3.1375,voltage cutoff,0.0375027538635457,2.9976328990380754,29.61339577228778
8,3.120833333333333,voltage cutoff,0.034509816871003865,2.996254667066899,29.610058857740306
9,3.1333333333333333,voltage cutoff,0.03388150171580931,2.9983881996875708,29.621633950605208
10,3.1375,voltage cutoff,0.034712861092375806,2.9949892744562456,29.560330942846228
11,3.1166666666666667,voltage cutoff,0.03837563650086617,2.999185340897646,29.6668068643941
12,3.1375,voltage cutoff,0.034886035711207,2.9968812820832698,29.69538451128985
13,3.1708333333333334,voltage cutoff,0.03486272192793722,2.99075634097236,29.602362281951372
14,3.095833333333333,voltage cutoff,0.037044974250538945,2.9988045754454737,29.635311454999254
15,3.129166666666667,voltage cutoff,0.03808217874612703,2.9986346615446737,29.615281219026077
16,3.154166666666667,SOC threshold,0.029045085213852174,2.992555182952477,29.657602751485236
17,3.154166666666667,voltage cutoff,0.03989673524581973,2.9976939925532697,29.561622286024438
18,3.120833333333333,voltage cutoff,0.04017446376181485,2.9959440886341113,29.676193689453044
19,3.154166666666667,voltage cutoff,0.033140933010224735,2.995172082721526,29.57647750054713
20,3.1375,voltage cutoff,0.03817489063984834,2.997547504902508,29.599552314045496
21,3.0833333333333335,voltage cutoff,0.04331675577516473,2.997606723400012,29.714496634524288
22,3.1416666666666666,voltage cutoff,0.04086699536633281,2.9986234954093685,29.64023873946916
23,3.0625,voltage cutoff,0.03601313018764445,2.9985700831673174,29.76769653827734
24,3.154166666666667,voltage cutoff,0.036378591840925886,2.9954831332665774,29.620762326157788
25,3.2041666666666666,voltage cutoff,0.031338911722289135,2.995626957342879,29.499462327174186
26,3.1375,voltage cutoff,0.031190762936864885,2.9937170849122356,29.632233961190934
27,3.1375,voltage cutoff,0.038749169833973814,2.997663621192964,29.650843450220883
28,3.1333333333333333,voltage cutoff,0.03680289607899024,2.998515910110893,29.649839883503482
29,3.1791666666666667,voltage cutoff,0.0397255516914602,2.9987069312661037,29.558043485387934
30,3.120833333333333,voltage cutoff,0.03100707471094026,2.9903084716125465,29.65231772336237
