time,soc,soh,temp,voltage,current,v1,v2,R0,R1,R2,power,tte_estimate,brightness,cpu_load,gpu_load,network_traffic,signal_quality,gps_flag,power_base,power_screen,power_cpu,power_gpu,power_network,power_gps,power_background,stop_reason,actual_tte_s
5.0,0.9996394206994269,0.9999999999999968,25.006910474801927,4.1792625777103245,0.8956789826236171,0.0030826529573736274,0.0008607884081100585,0.01875,0.00625,0.0125,3.7468097112707897,13848.508151030419,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
15.0,0.9989172649118884,0.9999999999999903,25.02074964246843,4.174735336276652,0.8972043827987822,0.005093733559467599,0.0023910221567886862,0.018731411851430235,0.006243803950476746,0.012487607900953492,3.7468097112707897,13823.513021210045,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
25.0,0.9981944338032258,0.9999999999999839,25.034580492207002,4.172053457811315,0.8979115046696685,0.005498935177185087,0.0036959342131024516,0.018712831428179,0.006237610476059667,0.012475220952119333,3.7468097112707897,13804.63623232323,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
35.0,0.9974711665272156,0.9999999999999775,25.048389313100998,4.169893054220143,0.8984183414865075,0.0055787439383510615,0.0048079669550878034,0.01869428109614694,0.006231427032048981,0.012462854064097962,3.7468097112707897,13787.490491193013,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
45.0,0.9967475359475769,0.999999999999971,25.062173649747503,4.1679643236040675,0.8988555153668097,0.005592579038590622,0.00575521730979212,0.018675766085286944,0.006225255361762314,0.012450510723524629,3.7468097112707897,13771.115546541267,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
55.0,0.996023577642611,0.9999999999999646,25.075932910779873,4.166190169596645,0.8992537385545949,0.005592936214822268,0.006561772778238086,0.018657287652846678,0.0062190958842822264,0.012438191768564453,3.7468097112707897,13755.255685176848,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
65.0,0.9952993166053359,0.9999999999999581,25.08966642424815,4.16453922176826,0.8996228509947081,0.005590440537982095,0.0072482317531374334,0.01863884650155957,0.00621294883385319,0.01242589766770638,3.7468097112707897,13739.806646532661,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
75.0,0.9945747730881253,0.9999999999999517,25.103373234783994,4.162991647799212,0.8999679461577549,0.005587255364837116,0.00783219631164255,0.01862044337729947,0.006206814459099824,0.012413628918199648,3.7468097112707897,13724.70244376218,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
85.0,0.9938499641592208,0.9999999999999453,25.117052200038653,4.1615319112637525,0.90029271062836,0.005583834403605025,0.008328703691068487,0.018602079102792376,0.0062006930342641264,0.012401386068528253,3.7468097112707897,13709.891388110535,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
95.0,0.9931249043385725,0.9999999999999388,25.130702101198217,4.160147025029514,0.900600162949739,0.005580284482971017,0.008750597567137757,0.018583754526714305,0.006194584842238101,0.012389169684476202,3.7468097112707897,13695.330296511653,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
